time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-03T04:40:05.655Z,-58.5581,-25.002,22.773,5.1,mb,64,75,16.909,0.59,us,us6000k1n8,2023-04-03T04:56:51.040Z,"South Sandwich Islands region",earthquake,11.81,5.148,0.059,94,reviewed,us,us
2023-04-03T03:06:57.764Z,52.7772,158.4839,105.631,6.5,mww,104,30,0.266,0.89,us,us6000k1mn,2023-04-07T14:54:54.824Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake,8.7,4.602,0.069,20,reviewed,us,us
2023-04-03T02:03:01.269Z,-0.951,126.8991,10,4.5,mb,28,94,1.774,0.7,us,us6000k1md,2023-04-03T02:42:31.040Z,"Molucca Sea",earthquake,5.15,1.842,0.118,21,reviewed,us,us
2023-04-02T22:32:42.177Z,12.2372,-87.9894,49.112,4.6,mb,31,156,1.05,0.2,us,us6000k1lp,2023-04-04T02:10:14.040Z,"81 km SW of Jiquilillo, Nicaragua",earthquake,6.69,10.343,0.068,65,reviewed,us,us
2023-04-02T19:32:24.808Z,6.4024,115.8451,601.41,5.5,mb,57,94,7.534,0.61,us,us6000k1ki,2023-04-04T13:15:01.670Z,"South China Sea",earthquake,9.69,6.439,0.034,293,reviewed,us,us
2023-04-02T18:53:06.873Z,2.8351,95.4664,26.339,4.9,mb,97,86,2.599,0.57,us,us6000k1k9,2023-04-06T16:49:47.040Z,"108 km WNW of Sinabang, Indonesia",earthquake,4.24,4.237,0.065,74,reviewed,us,us
2023-04-02T18:18:43.285Z,-4.3081,143.1023,73.107,4.6,mb,17,123,6.47,0.45,us,us6000k2ep,2023-04-06T16:42:54.040Z,"33 km ESE of Ambunti, Papua New Guinea",earthquake,14.73,11.28,0.182,9,reviewed,us,us
2023-04-02T18:04:11.321Z,-4.3258,143.1593,70,7,mww,154,20,3.04,0.82,us,us6000k1id,2023-04-07T14:58:05.971Z,"39 km ESE of Ambunti, Papua New Guinea",earthquake,8.05,1.88,0.047,44,reviewed,us,us
2023-04-02T13:17:50.127Z,-24.3807,-67.2053,176.953,4.6,mb,23,78,1.679,0.83,us,us6000k1hi,2023-04-02T15:19:21.040Z,"Salta, Argentina",earthquake,9.22,4.872,0.193,8,reviewed,us,us
2023-04-02T12:32:42.751Z,-1.6165,-77.6531,176.707,4.5,mb,68,98,0.391,0.51,us,us6000k1hb,2023-04-02T12:46:57.040Z,"Ecuador",earthquake,7.76,3.813,0.04,188,reviewed,us,us
2023-04-02T11:06:47.409Z,-3.4924,131.1367,10,4.5,mb,36,54,1.248,0.87,us,us6000k1h3,2023-04-02T11:26:04.040Z,"Ceram Sea, Indonesia",earthquake,5.53,1.213,0.119,21,reviewed,us,us
